direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn,time_stopped_min
"RIZ_SHA",02.02.2026 22:33,08.02.2026 17:35,414.77,12.8,17.9,6515
"RIZ_SHA",28.10.2025 19:52,31.10.2025 18:10,429.76,13.4,15.7,2373
"RIZ_SHA",29.07.2025 3:39,31.07.2025 9:06,526.27,9.7,16.0,24
"RIZ_SHA",13.10.2025 17:56,15.10.2025 19:04,486.39,11.1,15.3,417
"SHA_RIZ",10.07.2025 7:23,11.07.2025 17:10,450.18,13.2,15.7,0
"SHA_RIZ",20.06.2025 1:03,21.06.2025 8:02,446.99,14.0,16.8,0
"RIZ_SHA",13.09.2025 17:08,18.09.2025 9:48,426.05,12.1,15.1,4806
"RIZ_SHA",18.06.2025 0:27,20.06.2025 17:27,402.72,13.0,15.6,2060
"RIZ_SHA",22.02.2026 16:21,26.02.2026 20:04,415.31,10.5,14.4,3792
"RIZ_SHA",19.08.2025 1:43,25.08.2025 11:21,422.24,11.9,15.6,7262
"RIZ_SHA",16.05.2025 10:46,18.05.2025 10:50,397.36,12.3,16.9,1037
"RIZ_SHA",16.11.2024 13:08,21.11.2024 13:45,393.99,11.7,14.8,5223
"RIZ_SHA",24.10.2025 9:48,26.10.2025 2:07,464.32,12.5,15.8,267
"SHA_RIZ",21.09.2025 12:39,23.09.2025 13:36,484.06,13.5,17.5,829
"SHA_LIA",11.08.2026 23:33,13.08.2026 21:32,449.71,-1.0,-1.0,0
"RIZ_SHA",29.07.2026 00:36,02.08.2026 14:39,432.67,-1.0,-1.0,0
"SHA_RIZ",18.06.2026 12:22,19.06.2026 17:27,422.18,-1.0,-1.0,0
"RIZ_SHA",10.08.2026 16:20,15.08.2026 22:00,437.38,-1.0,-1.0,0
"SHA_RIZ",01.08.2026 13:08,03.08.2026 12:16,488.50,-1.0,-1.0,0
"RIZ_SHA",23.11.2025 18:21,27.11.2025 14:35,914.25,13.2,15.8,0
"RIZ_SHA",15.12.2025 5:46,18.12.2025 20:36,985.36,12.8,16.9,524
"RIZ_SHA",21.06.2025 15:39,09.07.2025 23:50,1037.53,10.3,10.3,1809
"RIZ_SHA",16.01.2026 6:25,22.01.2026 14:20,1020.07,8.5,8.5,1651
"RIZ_SHA",21.02.2025 17:49,25.02.2025 23:44,906.12,11.7,17.0,1648
"RIZ_SHA",18.01.2026 13:01,25.01.2026 16:18,1013.53,12.1,16.3,5465
"SHA_RIZ",26.10.2025 14:04,31.10.2025 13:24,784.73,13.0,16.4,3657
"RIZ_SHA",16.07.2025 8:11,21.07.2025 20:11,906.45,13.3,15.8,3932
"RIZ_SHA",25.06.2025 17:43,01.07.2025 14:15,878.81,12.2,16.5,0
"RIZ_SHA",19.12.2025 0:34,25.12.2025 4:25,994.66,12.7,17.4,4370
